Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,38.540001,38.540001,38.540001,38.540001,37.926640,0
2021-03-09,39.549999,39.549999,39.549999,39.549999,38.920567,0
2021-03-10,40.730000,40.730000,40.730000,40.730000,40.081787,0
2021-03-11,41.740002,41.740002,41.740002,41.740002,41.075714,0
2021-03-12,41.580002,41.580002,41.580002,41.580002,40.918262,0
2021-03-15,43.150002,43.150002,43.150002,43.150002,42.463276,0
2021-03-16,42.840000,42.840000,42.840000,42.840000,42.158207,0
2021-03-17,45.060001,45.060001,45.060001,45.060001,44.342880,0
2021-03-18,43.029999,43.029999,43.029999,43.029999,42.345181,0
2021-03-19,44.950001,44.950001,44.950001,44.950001,44.234631,0
2021-03-22,43.230000,43.230000,43.230000,43.230000,42.542000,0
2021-03-23,40.779999,40.779999,40.779999,40.779999,40.130989,0
2021-03-24,41.119999,41.119999,41.119999,41.119999,40.465580,0
2021-03-25,41.540001,41.540001,41.540001,41.540001,40.878899,0
2021-03-26,42.459999,42.459999,42.459999,42.459999,41.784252,0
2021-03-29,41.990002,41.990002,41.990002,41.990002,41.321735,0
2021-03-30,42.919998,42.919998,42.919998,42.919998,42.236931,0
2021-03-31,43.380001,43.380001,43.380001,43.380001,42.689613,0
2021-04-01,43.689999,43.689999,43.689999,43.689999,42.994678,0
2021-04-05,44.070000,44.070000,44.070000,44.070000,43.368633,0
2021-04-06,43.779999,43.779999,43.779999,43.779999,43.083248,0
2021-04-07,43.240002,43.240002,43.240002,43.240002,42.551846,0
2021-04-08,43.689999,43.689999,43.689999,43.689999,42.994678,0
2021-04-09,43.740002,43.740002,43.740002,43.740002,43.043888,0
2021-04-12,44.279999,44.279999,44.279999,44.279999,43.575287,0
2021-04-13,44.349998,44.349998,44.349998,44.349998,43.644176,0
2021-04-14,44.320000,44.320000,44.320000,44.320000,43.614655,0
2021-04-15,44.080002,44.080002,44.080002,44.080002,43.378475,0
2021-04-16,43.980000,43.980000,43.980000,43.980000,43.280064,0
2021-04-19,42.980000,42.980000,42.980000,42.980000,42.295979,0
2021-04-20,42.049999,42.049999,42.049999,42.049999,41.380779,0
2021-04-21,41.650002,41.650002,41.650002,41.650002,40.987148,0
2021-04-22,40.950001,40.950001,40.950001,40.950001,40.298290,0
2021-04-23,41.250000,41.250000,41.250000,41.250000,40.593510,0
2021-04-26,43.029999,43.029999,43.029999,43.029999,42.345181,0
2021-04-27,43.459999,43.459999,43.459999,43.459999,42.768341,0
2021-04-28,44.009998,44.009998,44.009998,44.009998,43.309586,0
2021-04-29,42.480000,42.480000,42.480000,42.480000,41.803936,0
2021-04-30,42.860001,42.860001,42.860001,42.860001,42.177891,0
2021-05-03,43.709999,43.709999,43.709999,43.709999,43.014359,0
2021-05-04,43.450001,43.450001,43.450001,43.450001,42.758499,0
2021-05-05,44.389999,44.389999,44.389999,44.389999,43.683540,0
2021-05-06,43.250000,43.250000,43.250000,43.250000,42.561684,0
2021-05-07,45.110001,45.110001,45.110001,45.110001,44.392082,0
